Force,ANSYS,WORK,ANSYS2,WORK2
6.56,1.574935,1.59326,1.58449,1.60308
6.6,1.588255,1.60658,1.59798,1.61657
6.64,1.601565,1.619895,1.61146,1.63006
6.68,1.614885,1.6332,1.62495,1.64354
6.72,1.62821,1.64651,1.63845,1.65702
6.76,1.64154,1.65982,1.65195,1.67051
6.8,1.65487,1.67313,1.66546,1.684
6.84,1.6682,1.68643,1.67897,1.69748
6.88,1.681535,1.69974,1.69248,1.71097
6.92,1.694875,1.713035,1.706,1.72445
6.96,1.708215,1.72633,1.71952,1.73793
7,1.72156,1.739615,1.73305,1.7514
7.04,1.7349,1.752905,1.74658,1.76488
7.08,1.74824,1.76618,1.7601,1.77834
7.12,1.761585,1.779455,1.77364,1.79181
7.16,1.774935,1.792725,1.78718,1.80527
7.2,1.788285,1.80599,1.80072,1.81873
7.24,1.80164,1.819245,1.81427,1.83218
7.28,1.814995,1.8325,1.82782,1.84563
7.32,1.82835,1.84574,1.84137,1.85907
7.36,1.8417,1.85898,1.85492,1.87251
7.4,1.85506,1.87221,1.86848,1.88594
7.44,1.86842,1.88544,1.88204,1.89937
7.48,1.88177,1.898655,1.89559,1.91279
7.52,1.895125,1.91187,1.90915,1.92621
7.56,1.908485,1.92508,1.92272,1.93963
7.6,1.92184,1.938275,1.93628,1.95303
7.64,1.935195,1.951465,1.94985,1.96643
7.68,1.948555,1.964655,1.96342,1.97983
7.72,1.961905,1.97783,1.97698,1.99322
7.76,1.97527,1.990995,1.99056,2.0066
7.8,1.988625,2.00415,2.00413,2.01997
7.84,2.001975,2.017305,2.0177,2.03334
7.88,2.01533,2.03045,2.03127,2.04671
7.92,2.028685,2.04358,2.04485,2.06006
7.96,2.042035,2.056705,2.05842,2.0734
8,2.05539,2.06982,2.072,2.08674
8.04,2.068735,2.082925,2.08557,2.10007
8.08,2.08209,2.09602,2.09915,2.11339
8.12,2.095435,2.109105,2.11273,2.1267
8.16,2.10878,2.122175,2.1263,2.14
8.2,2.122125,2.135245,2.13988,2.1533
8.24,2.135475,2.148295,2.15346,2.16658
8.28,2.148815,2.16134,2.16704,2.17986
8.32,2.16216,2.174375,2.18062,2.19313
8.36,2.17549,2.1874,2.19419,2.20639
8.4,2.188825,2.200415,2.20776,2.21964
8.44,2.20216,2.213425,2.22134,2.23289
8.48,2.21549,2.226425,2.23491,2.24613
8.52,2.22882,2.239415,2.24849,2.25936
8.56,2.242145,2.25239,2.26206,2.27258
8.6,2.25547,2.265355,2.27563,2.28579
8.64,2.26879,2.278305,2.2892,2.29898
8.68,2.282105,2.291245,2.30277,2.31217
8.72,2.295425,2.30417,2.31634,2.32534
8.76,2.30874,2.31709,2.32991,2.33851
8.8,2.32205,2.32999,2.34348,2.35166
8.84,2.335365,2.34288,2.35705,2.3648
8.88,2.34867,2.355755,2.37062,2.37793
8.92,2.361975,2.36862,2.38418,2.39105
8.96,2.37527,2.381475,2.39774,2.40416
9,2.388565,2.39432,2.4113,2.41726
9.04,2.40185,2.40715,2.42485,2.43035
9.08,2.415135,2.41997,2.4384,2.44343
9.12,2.428425,2.432775,2.45196,2.4565
9.16,2.441705,2.44557,2.46551,2.46955
9.2,2.45498,2.45835,2.47906,2.4826
9.24,2.468255,2.47112,2.49261,2.49563
9.28,2.48152,2.48387,2.50615,2.50865
9.32,2.494785,2.496615,2.51969,2.52166
9.36,2.508045,2.509345,2.53323,2.53466
9.4,2.521305,2.522055,2.54677,2.54764
9.44,2.534555,2.534755,2.5603,2.56061
9.48,2.547805,2.547445,2.57383,2.57357
9.52,2.561055,2.560115,2.58737,2.58652
9.56,2.574295,2.572775,2.6009,2.59945
9.6,2.58753,2.58542,2.61442,2.61237
9.64,2.60076,2.59805,2.62794,2.62528
9.68,2.61399,2.61066,2.64146,2.63817
9.72,2.62721,2.62326,2.65497,2.65105
9.76,2.640425,2.63585,2.66848,2.66392
9.8,2.653635,2.64842,2.68199,2.67677
9.84,2.66684,2.660975,2.69549,2.68961
9.88,2.680045,2.673515,2.709,2.70244
9.92,2.69324,2.68604,2.72249,2.71525
9.96,2.706435,2.698545,2.73599,2.72804
10,2.71962,2.711045,2.74948,2.74083
9.96,2.717,2.70845,2.7468,2.73817
9.92,2.714375,2.70586,2.74411,2.73552
9.88,2.711745,2.70327,2.74142,2.73287
9.84,2.70912,2.700675,2.73873,2.73021
9.8,2.706495,2.698075,2.73605,2.72755
9.76,2.70387,2.695485,2.73336,2.7249
9.72,2.70124,2.692885,2.73067,2.72224
9.68,2.698615,2.69029,2.72798,2.71958
9.64,2.695985,2.68769,2.72529,2.71692
9.6,2.69336,2.6851,2.7226,2.71427
9.56,2.69073,2.6825,2.71991,2.71161
9.52,2.688105,2.6799,2.71722,2.70895
9.48,2.685475,2.6773,2.71453,2.70629
9.44,2.682845,2.6747,2.71184,2.70363
9.4,2.680215,2.6721,2.70915,2.70097
9.36,2.67759,2.669495,2.70646,2.6983
9.32,2.67496,2.666895,2.70377,2.69564
9.28,2.67233,2.664295,2.70108,2.69298
9.24,2.6697,2.661695,2.69839,2.69032
9.2,2.66707,2.65909,2.6957,2.68765
9.16,2.66444,2.65649,2.69301,2.68499
9.12,2.66181,2.653885,2.69032,2.68233
9.08,2.65918,2.65128,2.68763,2.67966
9.04,2.65655,2.648675,2.68494,2.677
9,2.653915,2.64607,2.68224,2.67433
8.96,2.651285,2.643465,2.67955,2.67167
8.92,2.648655,2.64086,2.67686,2.669
8.88,2.64602,2.63825,2.67417,2.66633
8.84,2.643385,2.63564,2.67147,2.66366
8.8,2.640755,2.633035,2.66878,2.661
8.76,2.638125,2.630425,2.66609,2.65833
8.72,2.635485,2.62782,2.66339,2.65566
8.68,2.632855,2.62521,2.6607,2.65299
8.64,2.630225,2.6226,2.65801,2.65032
8.6,2.627585,2.61999,2.65531,2.64765
8.56,2.624955,2.617375,2.65262,2.64498
8.52,2.622315,2.614765,2.64992,2.64231
8.48,2.619685,2.612155,2.64723,2.63964
8.44,2.617045,2.609545,2.64453,2.63697
8.4,2.614415,2.606925,2.64184,2.63429
8.36,2.611775,2.604315,2.63914,2.63162
8.32,2.60914,2.6017,2.63645,2.62895
8.28,2.606505,2.599085,2.63375,2.62627
8.24,2.603865,2.59647,2.63105,2.6236
8.2,2.60123,2.59386,2.62836,2.62093
8.16,2.59859,2.59124,2.62566,2.61825
8.12,2.59596,2.588625,2.62297,2.61558
8.08,2.59332,2.586005,2.62027,2.6129
8.04,2.59068,2.58339,2.61757,2.61022
8,2.58804,2.580775,2.61487,2.60755
7.96,2.585405,2.578155,2.61218,2.60487
7.92,2.582765,2.575535,2.60948,2.60219
7.88,2.580125,2.57292,2.60678,2.59952
7.84,2.577485,2.570295,2.60408,2.59684
7.8,2.57485,2.567675,2.60139,2.59416
7.76,2.57221,2.565055,2.59869,2.59148
7.72,2.56957,2.562435,2.59599,2.5888
7.68,2.566925,2.55981,2.59329,2.58612
7.64,2.564285,2.55719,2.59059,2.58344
7.6,2.561645,2.554565,2.58789,2.58076
7.56,2.559005,2.551945,2.58519,2.57808
7.52,2.55636,2.549315,2.58249,2.57539
7.48,2.55372,2.546695,2.57979,2.57271
7.44,2.55108,2.54407,2.57709,2.57003
7.4,2.548435,2.541445,2.57439,2.56735
7.36,2.545795,2.53882,2.57169,2.56466
7.32,2.54315,2.536195,2.56899,2.56198
7.28,2.54051,2.533565,2.56629,2.55929
7.24,2.537865,2.53094,2.56359,2.55661
7.2,2.535225,2.528315,2.56089,2.55393
7.16,2.53258,2.525685,2.55819,2.55124
7.12,2.52994,2.523055,2.55549,2.54855
7.08,2.52729,2.52043,2.55278,2.54587
7.04,2.524645,2.517795,2.55008,2.54318
7,2.522005,2.515165,2.54738,2.54049
6.96,2.51936,2.51254,2.54468,2.53781
6.92,2.516715,2.50991,2.54198,2.53512
6.88,2.514065,2.507275,2.53927,2.53243
6.84,2.51142,2.504645,2.53657,2.52974
6.8,2.50878,2.50201,2.53387,2.52705
6.76,2.50613,2.49938,2.53116,2.52436
6.72,2.503485,2.496745,2.52846,2.52167
6.68,2.50084,2.49411,2.52576,2.51898
6.64,2.49819,2.491475,2.52305,2.51629
6.6,2.495545,2.488845,2.52035,2.5136
6.56,2.4929,2.48621,2.51765,2.51091
6.52,2.490245,2.48357,2.51494,2.50821
6.48,2.4876,2.480935,2.51224,2.50552
6.44,2.48495,2.4783,2.50953,2.50283
6.4,2.482305,2.475665,2.50683,2.50014
6.36,2.479655,2.473025,2.50412,2.49744
6.32,2.47701,2.47039,2.50142,2.49475
6.28,2.474355,2.46775,2.49871,2.49205
6.24,2.47171,2.46511,2.49601,2.48936
6.2,2.46906,2.46247,2.4933,2.48666
6.16,2.466405,2.459835,2.49059,2.48397
6.12,2.46376,2.45719,2.48789,2.48127
6.08,2.461105,2.454555,2.48518,2.47858
6.04,2.45846,2.45191,2.48248,2.47588
6,2.455805,2.44927,2.47977,2.47318
5.96,2.453155,2.446625,2.47706,2.47048
5.92,2.4505,2.443985,2.47435,2.46779
5.88,2.447855,2.441345,2.47165,2.46509
5.84,2.4452,2.4387,2.46894,2.46239
5.8,2.442545,2.436055,2.46623,2.45969
5.76,2.439895,2.43341,2.46352,2.45699
5.72,2.437245,2.430765,2.46082,2.45429
5.68,2.43459,2.42812,2.45811,2.45159
5.64,2.431935,2.425475,2.4554,2.44889
5.6,2.429285,2.42283,2.45269,2.44619
5.56,2.42663,2.420185,2.44998,2.44349
5.52,2.423975,2.417535,2.44727,2.44078
5.48,2.42132,2.41489,2.44456,2.43808
5.44,2.41867,2.412245,2.44186,2.43538
5.4,2.416015,2.409595,2.43915,2.43268
5.36,2.41336,2.406945,2.43644,2.42997
5.32,2.410705,2.4043,2.43373,2.42727
5.28,2.40805,2.401645,2.43102,2.42456
5.24,2.405395,2.399,2.42831,2.42186
5.2,2.40274,2.39635,2.4256,2.41916
5.16,2.400085,2.393695,2.42289,2.41645
