TIME,FORCE,ANSYS,WORK
384,-2496,-6.57265,-6.51223
385,-2502.5,-6.599285,-6.537955
386,-2509,-6.62591,-6.563715
387,-2515.5,-6.65256,-6.58949
388,-2522,-6.67924,-6.615295
389,-2528.5,-6.705905,-6.64117
390,-2535,-6.73259,-6.66706
391,-2541.5,-6.75929,-6.69298
392,-2548,-6.786,-6.718935
393,-2554.5,-6.81279,-6.74492
394,-2561,-6.83965,-6.77093
395,-2567.5,-6.86651,-6.796935
396,-2574,-6.89338,-6.82295
397,-2580.5,-6.92026,-6.84901
398,-2587,-6.947125,-6.87511
399,-2593.5,-6.97398,-6.901245
400,-2600,-7.00088,-6.92741
401,-2593.5,-6.989585,-6.91611
402,-2587,-6.97828,-6.904805
403,-2580.5,-6.96697,-6.893495
404,-2574,-6.95566,-6.882185
405,-2567.5,-6.944345,-6.870865
406,-2561,-6.93303,-6.85955
407,-2554.5,-6.92171,-6.84822
408,-2548,-6.91038,-6.83689
409,-2541.5,-6.89905,-6.82556
410,-2535,-6.887715,-6.814225
411,-2528.5,-6.876375,-6.802885
412,-2522,-6.86503,-6.791535
413,-2515.5,-6.853685,-6.780185
414,-2509,-6.842335,-6.768835
415,-2502.5,-6.830975,-6.75748
416,-2496,-6.819615,-6.746115
417,-2489.5,-6.808255,-6.73475
418,-2483,-6.79689,-6.723375
419,-2476.5,-6.785515,-6.712005
420,-2470,-6.774135,-6.700625
421,-2463.5,-6.762755,-6.689245
422,-2457,-6.75137,-6.677855
423,-2450.5,-6.739985,-6.666465
424,-2444,-6.72859,-6.65507
425,-2437.5,-6.717195,-6.64367
426,-2431,-6.705795,-6.632265
427,-2424.5,-6.69439,-6.620855
428,-2418,-6.68298,-6.609445
429,-2411.5,-6.671565,-6.59803
430,-2405,-6.660145,-6.58661
431,-2398.5,-6.648725,-6.575185
432,-2392,-6.6373,-6.56376
433,-2385.5,-6.62587,-6.552325
434,-2379,-6.614435,-6.540885
435,-2372.5,-6.602995,-6.529445
436,-2366,-6.591555,-6.517995
437,-2359.5,-6.58011,-6.50655
438,-2353,-6.568655,-6.495095
439,-2346.5,-6.5572,-6.48364
440,-2340,-6.545745,-6.47218
441,-2333.5,-6.53428,-6.46071
442,-2327,-6.52281,-6.44924
443,-2320.5,-6.51134,-6.437765
444,-2314,-6.499865,-6.426285
445,-2307.5,-6.48838,-6.4148
446,-2301,-6.476895,-6.40331
447,-2294.5,-6.46541,-6.39182
448,-2288,-6.453915,-6.38032
449,-2281.5,-6.442415,-6.368825
450,-2275,-6.430915,-6.35732
451,-2268.5,-6.41941,-6.34581
452,-2262,-6.4079,-6.334295
453,-2255.5,-6.396385,-6.32278
454,-2249,-6.384865,-6.31126
455,-2242.5,-6.373345,-6.29973
456,-2236,-6.36182,-6.2882
457,-2229.5,-6.35029,-6.27667
458,-2223,-6.33875,-6.26513
459,-2216.5,-6.327215,-6.253585
460,-2210,-6.31567,-6.242035
461,-2203.5,-6.30412,-6.230485
462,-2197,-6.29257,-6.21893
463,-2190.5,-6.281015,-6.20737
464,-2184,-6.269455,-6.19581
465,-2177.5,-6.257885,-6.18424
466,-2171,-6.24632,-6.172665
467,-2164.5,-6.23474,-6.161085
468,-2158,-6.223165,-6.149505
469,-2151.5,-6.211585,-6.13792
470,-2145,-6.199995,-6.12633
471,-2138.5,-6.18841,-6.114735
472,-2132,-6.17681,-6.10314
473,-2125.5,-6.165215,-6.09153
474,-2119,-6.15361,-6.079925
475,-2112.5,-6.142,-6.068315
476,-2106,-6.13039,-6.056695
477,-2099.5,-6.118775,-6.045075
478,-2093,-6.107155,-6.033455
479,-2086.5,-6.095525,-6.021825
480,-2080,-6.0839,-6.01019
481,-2073.5,-6.072265,-5.998555
482,-2067,-6.060625,-5.98691
483,-2060.5,-6.048985,-5.975265
484,-2054,-6.03734,-5.963615
485,-2047.5,-6.02569,-5.951965
486,-2041,-6.01403,-5.9403
487,-2034.5,-6.002375,-5.92864
488,-2028,-5.990715,-5.91697
489,-2021.5,-5.979045,-5.9053
490,-2015,-5.96737,-5.89362
491,-2008.5,-5.955695,-5.88194
492,-2002,-5.944015,-5.870255
493,-1995.5,-5.932325,-5.858565
494,-1989,-5.92064,-5.84687
495,-1982.5,-5.908945,-5.83517
496,-1976,-5.897245,-5.82347
497,-1969.5,-5.885545,-5.81176
498,-1963,-5.873835,-5.80005
499,-1956.5,-5.862125,-5.788335
500,-1950,-5.85041,-5.776615
501,-1943.5,-5.83869,-5.76489
502,-1937,-5.826965,-5.75316
503,-1930.5,-5.815235,-5.74143
504,-1924,-5.803505,-5.72969
505,-1917.5,-5.79177,-5.71795
506,-1911,-5.780025,-5.7062
507,-1904.5,-5.768275,-5.69445
508,-1898,-5.756525,-5.682695
509,-1891.5,-5.744775,-5.670935
510,-1885,-5.73301,-5.65917
511,-1878.5,-5.72125,-5.6474
512,-1872,-5.709485,-5.63563
513,-1865.5,-5.69771,-5.62385
514,-1859,-5.685935,-5.61207
515,-1852.5,-5.67415,-5.600285
